_id,ltable_ID,rtable_ID,ltable_Name,ltable_Category,ltable_Author,ltable_Price,ltable_Series,ltable_Pages,ltable_Publisher,ltable_Date,ltable_Language,ltable_ISBN_10,ltable_ISBN_13,ltable_Dimensions,ltable_Weight,rtable_Name,rtable_Category,rtable_Author,rtable_Price,rtable_Series,rtable_Pages,rtable_Publisher,rtable_Date,rtable_Language,rtable_ISBN_10,rtable_ISBN_13,rtable_Dimensions,rtable_Weight
0,1,2,Treason,Science Fiction : Space Opera,Gun Brooke,$16.95,,,Bold Strokes Books,"""January 15, 2019""",English,1635552443,978-1635552447,,1.1 pounds,Treason,Science Fiction - Space Opera,Gun Brooke,$16.95,,,Bold Strokes Books,January 2019,,1635552443,9781635552447,,
1,9,3,Tales from Plexis (Trade Pact Universe),Science Fiction : Space Opera,Julie E. Czerneda,$10.57,Trade Pact Universe,320 pages,DAW,"""December 4, 2018""",English,0756413931,978-0756413934,5.1 x 8 inches,13 ounces,Tales from Plexis,Science Fiction - Space Opera,Julie E. Czerneda,$16.00,,320.0,Daw Books,December 2018,,0756413931,9780756413934,,
2,8,4,"""The Emperor's Gift (Warhammer 40,000)""",Science Fiction : Space Opera,Aaron Dembski-Bowden,$16.00,"""Warhammer 40,000""",416 pages,Games Workshop; Reprint edition,"""December 11, 2018""",English,1784968447,978-1784968441,5.1 x 7.8 inches,1.1 pounds,The Emperor's Gift,Science Fiction - Space Opera,Aaron Dembski-Bowden,$12.16,,416.0,Games Workshop,December 2018,,1784968447,9781784968441,,
3,10,5,A Star Wheeled Sky,Science Fiction : Space Opera,Brad R. Torgersen,$16.00,,352 pages,Baen,"""December 4, 2018""",English,1481483625,978-1481483629,6.1 x 9.8 inches,1.1 pounds,A Star Wheeled Sky,Science Fiction - Space Opera,Brad R. Torgersen,$12.80,,352.0,Baen,December 2018,,1481483625,9781481483629,,
4,11,6,The Magnificent Wilf,Science Fiction : Space Opera,Gordon R. Dickson,$16.00,,272 pages,Baen; Reprint edition,"""December 4, 2018""",English,1481483633,978-1481483636,6.1 x 9.2 inches,1.1 pounds,The Magnificent Wilf,Science Fiction - Space Opera,Gordon R. Dickson,$16.00,,272.0,Baen,December 2018,,1481483633,9781481483636,,
5,1812,6,The Spitting Post,Fantasy : Dark,Jason R. Barden,$13.99,,220 pages,"""The Wild Rose Press, Inc.""","""December 8, 2017""",English,1509218181,978-1509218189,5 x 0.5 x 8 inches,10.7 ounces,The Magnificent Wilf,Science Fiction - Space Opera,Gordon R. Dickson,$16.00,,272.0,Baen,December 2018,,1481483633,9781481483636,,
6,59,6,The Outposter,Science Fiction : Space Opera,Gordon R. Dickson,$16.00,,336 pages,Baen; Reissue edition,"""August 7, 2018""",English,1481483285,978-1481483285,,1.1 pounds,The Magnificent Wilf,Science Fiction - Space Opera,Gordon R. Dickson,$16.00,,272.0,Baen,December 2018,,1481483633,9781481483636,,
7,6,7,Space Opera,Science Fiction : Space Opera,Catherynne M. Valente,$14.99,,304 pages,Saga Press; Reprint edition,"""December 18, 2018""",English,1481497502,978-1481497503,5.5 x 8.2 inches,1.1 pounds,Space Opera,Science Fiction - Space Opera,Catherynne M. Valente,$11.39,,304.0,Saga Press,December 2018,,1481497502,9781481497503,,
8,4,8,"""Blood Angels  The Complete Rafen Omnibus (Warhammer 40,000)""",Science Fiction : Space Opera,James Swallow,$21.00,"""Warhammer 40,000""",960 pages,Games Workshop,"""December 25, 2018""",English,1784968331,978-1784968335,5.1 x 7.8 inches,1.1 pounds,Blood Angels - The Complete Rafen Omnibus  :  The Complete Rafen Omnibus,Science Fiction - Space Opera,James Swallow,$21.00,,960.0,Games Workshop,December 2018,,1784968331,9781784968335,,
9,7,9,"""Legend of the Galactic Heroes, Vol. 8: Desolation""",Science Fiction : Space Opera,Yoshiki Tanaka and Daniel Huddleston,$15.99,Legend of the Galactic Heroes (Book 8),224 pages,Haikasoru,"""December 11, 2018""",English,1421585014,978-1421585017,5.2 x 8 inches,1.1 pounds,"""Legend of the Galactic Heroes, Vol. 8  :  Desolation""",Science Fiction - Space Opera,Yoshiki Tanaka and Daniel Huddleston,$15.99,,224.0,Haikasoru,December 2018,,1421585014,9781421585017,,
10,49,9,"""Legend of the Galactic Heroes, Vol. 7: Tempest""",Science Fiction : Space Opera,Yoshiki Tanaka and Daniel Huddleston,$15.99,Legend of the Galactic Heroes (Book 7),224 pages,Haikasoru,"""August 21, 2018""",English,1421585294,978-1421585291,5.2 x 8 inches,1.1 pounds,"""Legend of the Galactic Heroes, Vol. 8  :  Desolation""",Science Fiction - Space Opera,Yoshiki Tanaka and Daniel Huddleston,$15.99,,224.0,Haikasoru,December 2018,,1421585014,9781421585017,,
11,126,9,"""Legend of the Galactic Heroes, Vol. 6: Flight""",Science Fiction : Space Opera,Yoshiki Tanaka and Tyran Grillo,$15.99,Legend of the Galactic Heroes (Book 6),224 pages,Haikasoru,"""April 17, 2018""",English,1421584999,978-1421584997,5.2 x 0.6 x 8 inches,7.5 ounces,"""Legend of the Galactic Heroes, Vol. 8  :  Desolation""",Science Fiction - Space Opera,Yoshiki Tanaka and Daniel Huddleston,$15.99,,224.0,Haikasoru,December 2018,,1421585014,9781421585017,,
12,805,9,"""Legend of the Galactic Heroes, Vol. 5: Mobilization""",Science Fiction : Space Opera,Yoshiki Tanaka and Tyran Grillo,$9.34,Legend of the Galactic Heroes (Book 5),272 pages,Haikasoru,"""November 21, 2017""",English,1421584980,978-1421584980,5.2 x 0.6 x 8 inches,7.8 ounces,"""Legend of the Galactic Heroes, Vol. 8  :  Desolation""",Science Fiction - Space Opera,Yoshiki Tanaka and Daniel Huddleston,$15.99,,224.0,Haikasoru,December 2018,,1421585014,9781421585017,,
13,3,10,The Crimson King (The Horus Heresy),Science Fiction : Space Opera,Graham McNeill,$9.99,The Horus Heresy,480 pages,Games Workshop,"""December 25, 2018""",English,178496834X,978-1784968342,4.2 x 6.7 inches,1.1 pounds,The Crimson King,Science Fiction - Space Opera,Graham McNeill,$9.99,,480.0,Games Workshop,December 2018,,178496834X,9781784968342,,
14,16,11,"""The Soldier: Rise of the Jain, Book One""",Science Fiction : Space Opera,Neal Asher,$15.99,Rise of the Jain (Book 1),400 pages,Night Shade Books,"""November 6, 2018""",English,1597809616,978-1597809610,6 x 9 inches,1.1 pounds,"""The Soldier  :  Rise of the Jain, Book One""",Science Fiction - Space Opera,Neal Asher,$12.79,,392.0,Night Shade Books,November 2018,,1597809616,9781597809610,,
15,18,12,Hokas Pokas,Science Fiction : Space Opera,Poul Anderson and Gordon R. Dickson,$16.00,,272 pages,Baen,"""November 6, 2018""",English,1481483579,978-1481483575,6.1 x 9.2 inches,1.1 pounds,Hokas Pokas,Science Fiction - Space Opera,Poul Anderson and Gordon R. Dickson,$12.80,,272.0,Baen,November 2018,,1481483579,9781481483575,,
16,12,13,The Warmaster (Gaunt's Ghosts),Science Fiction : Space Opera,Dan Abnett,$16.00,Gaunt's Ghosts,432 pages,Games Workshop; Reprint edition,"""November 27, 2018""",English,1784968145,978-1784968144,5.1 x 7.8 inches,1.1 pounds,The Warmaster,Science Fiction - Space Opera,Dan Abnett,$12.16,,432.0,Games Workshop,November 2018,,1784968145,9781784968144,,
17,220,13,The Magos (Eisenhorn),Science Fiction : Space Opera,Dan Abnett,$11.59,Eisenhorn (Book 4),720 pages,Games Workshop,"""March 6, 2018""",English,1784967025,978-1784967024,5.1 x 2 x 7.8 inches,1.1 pounds,The Warmaster,Science Fiction - Space Opera,Dan Abnett,$12.16,,432.0,Games Workshop,November 2018,,1784968145,9781784968144,,
18,17,14,"""The Voice of Mars (Warhammer 40,000)""",Science Fiction : Space Opera,David Guymer,$12.15,"""Warhammer 40,000""",432 pages,Games Workshop,"""November 6, 2018""",English,1784968080,978-1784968083,5.1 x 7.8 inches,1.1 pounds,The Voice of Mars,Science Fiction - Space Opera,David Guymer,$13.08,,432.0,Games Workshop,November 2018,,1784968080,9781784968083,,
19,21,14,The Spark,Science Fiction : Space Opera,David Drake,$7.05,,368 pages,Baen,"""October 30, 2018""",English,1481483595,978-1481483599,4.1 x 6.8 inches,1.1 pounds,The Voice of Mars,Science Fiction - Space Opera,David Guymer,$13.08,,432.0,Games Workshop,November 2018,,1784968080,9781784968083,,
20,439,14,The Navigators: Book One of the Pathfinders Series,Science Fiction : Space Opera,David Hawkins,,The Pathfinders (Book 1),370 pages,Independently published,"""January 25, 2018""",English,1976995698,978-1976995699,6 x 0.9 x 9 inches,1.4 pounds,The Voice of Mars,Science Fiction - Space Opera,David Guymer,$13.08,,432.0,Games Workshop,November 2018,,1784968080,9781784968083,,
21,834,14,The Eye of Medusa (Iron Hands),Science Fiction : Space Opera,David Guymer,$12.55,Iron Hands (Book 1),432 pages,Games Workshop,"""November 14, 2017""",English,1784966134,978-1784966133,5.1 x 1.2 x 7.8 inches,10.2 ounces,The Voice of Mars,Science Fiction - Space Opera,David Guymer,$13.08,,432.0,Games Workshop,November 2018,,1784968080,9781784968083,,
22,325,14,Eternal Horizon: The Ordeal of Sezan Krynne (Eternal Horizon: A Star Saga),Science Fiction : Space Opera,David Roman,$14.99,Eternal Horizon: A Star Saga (Book 3),296 pages,Independently published,"""February 18, 2018""",English,1980317666,978-1980317661,5 x 0.7 x 8 inches,13.8 ounces,The Voice of Mars,Science Fiction - Space Opera,David Guymer,$13.08,,432.0,Games Workshop,November 2018,,1784968080,9781784968083,,
23,2391,14,No one's Perfect: The biography of an abusive Roman Catholic priest,Psychological Thrillers,David John Hay,$6.50,,218 pages,Independently published,"""March 17, 2018""",English,1980582661,978-1980582663,6 x 0.5 x 9 inches,13.8 ounces,The Voice of Mars,Science Fiction - Space Opera,David Guymer,$13.08,,432.0,Games Workshop,November 2018,,1784968080,9781784968083,,
24,1735,15,Gods of the Mountain (A Cycle of Blades),Fantasy : Dark,Christopher Keene,$15.99,A Cycle of Blades (Book 1),356 pages,Solstice Publishing,"""December 21, 2017""",English,1625267045,978-1625267047,6 x 0.8 x 9 inches,1.3 pounds,Champions of the Third Planet,Science Fiction - Space Opera,Christopher Leone,$13.99,,240.0,Nerdist,November 2018,,1942645376,9781942645375,,
25,246,15,Strictures of the Human Condition,Science Fiction : Space Opera,J Christopher Harman,$11.25,,345 pages,Independently published,"""March 2, 2018""",English,1980289980,978-1980289982,5 x 0.9 x 8 inches,15.8 ounces,Champions of the Third Planet,Science Fiction - Space Opera,Christopher Leone,$13.99,,240.0,Nerdist,November 2018,,1942645376,9781942645375,,
26,25,16,"""Legacy of Dorn (Warhammer 40,000)""",Science Fiction : Space Opera,Mike Lee,$13.13,"""Warhammer 40,000""",416 pages,Games Workshop,"""October 9, 2018""",English,1784967777,978-1784967772,5.1 x 7.8 inches,1.1 pounds,Legacy of Dorn,Science Fiction - Space Opera,Mike Lee,$14.05,,416.0,Games Workshop,October 2018,,1784967777,9781784967772,,
27,23,17,Wolfsbane (The Horus Heresy),Science Fiction : Space Opera,Guy Haley,$13.89,The Horus Heresy,432 pages,Games Workshop,"""October 9, 2018""",English,1784967793,978-1784967796,6 x 9.2 inches,1.1 pounds,Wolfsbane,Science Fiction - Space Opera,Guy Haley,$14.86,,432.0,Games Workshop,October 2018,,1784967793,9781784967796,,
28,31,18,Probability Shadow (Against the Glare of Darkness),Science Fiction : Space Opera,Mark Laporta,$8.59,Against the Glare of Darkness (Book 1),248 pages,Chickadee Prince Books,"""October 1, 2018""",English,0999756923,978-0999756928,6 x 0.5 x 9 inches,11.8 ounces,Probability Shadow,Science Fiction - Space Opera,Mark Laporta,$9.22,,248.0,Chickadee Prince Books,October 2018,,0999756923,9780999756928,9 x 6 x 0.52 inches,0.74 pounds
29,111,19,Ghost Warrior (Rise of the Ynnari),Science Fiction : Space Opera,Gav Thorpe,$16.00,Rise of the Ynnari (Book 1),368 pages,Games Workshop,"""May 15, 2018""",English,1784966754,978-1784966751,5.1 x 0.9 x 7.8 inches,9.3 ounces,Imperator  :  Wrath of the Omnissiah: Wrath of the Omnissiah,Science Fiction - Space Opera,Gav Thorpe,$12.95,,368.0,Games Workshop,October 2018,,1784967785,9781784967789,,
30,24,19,"""Imperator: Wrath of the Omnissiah (Warhammer 40,000)""",Science Fiction : Space Opera,Gav Thorpe,$12.11,"""Warhammer 40,000""",368 pages,Games Workshop,"""October 9, 2018""",English,1784967785,978-1784967789,5.1 x 7.8 inches,1.1 pounds,Imperator  :  Wrath of the Omnissiah: Wrath of the Omnissiah,Science Fiction - Space Opera,Gav Thorpe,$12.95,,368.0,Games Workshop,October 2018,,1784967785,9781784967789,,
31,26,20,There Before the Chaos (The Farian War),Science Fiction : Space Opera,K. B. Wagers,$11.15,The Farian War (Book 1),432 pages,Orbit,"""October 9, 2018""",English,0316411213,978-0316411219,,1.1 pounds,There Before the Chaos,Science Fiction - Space Opera,K. B. Wagers,$11.99,,432.0,Orbit,October 2018,,0316411213,9780316411219,,
