_id,ltable_ID,rtable_ID,ltable_Name,ltable_Category,ltable_Author,ltable_Price,ltable_Series,ltable_Pages,ltable_Publisher,ltable_Date,ltable_Language,ltable_ISBN_10,ltable_ISBN_13,ltable_Dimensions,ltable_Weight,rtable_Name,rtable_Category,rtable_Author,rtable_Price,rtable_Series,rtable_Pages,rtable_Publisher,rtable_Date,rtable_Language,rtable_ISBN_10,rtable_ISBN_13,rtable_Dimensions,rtable_Weight
0,422,523,Goddess of the Stars (Reptoid) (Volume 1),Science Fiction : Space Opera,Ronnie G. Anderson,$10.95,Reptoid,184 pages,CreateSpace Independent Publishing Platform,"""January 30, 2018""",English,198436863X,978-1984368638,6 x 0.4 x 9 inches,11.8 ounces,The Frozen,Science Fiction - Space Opera,Ronnie G. Anderson,$14.95,,302.0,Createspace Independent Publishing Platform,September 2017,,1976477522,9781976477522,9 x 6 x 0.63 inches,0.89 pounds
1,478,278,The Galaxy Primes,Science Fiction : Space Opera,"E. E. ""Doc"" Smith",$13.53,,230 pages,Vintage Sci-Fi Classics,"""January 17, 2018""",English,1528703154,978-1528703154,5.5 x 0.5 x 8.5 inches,10.6 ounces,Spacehounds of Ipc,Science Fiction - Space Opera,"E. E. ""Doc"" Smith",$14.99,,274.0,Vintage Sci-Fi Classics,January 2018,,1528703138,9781528703130,8.5 x 5.5 x 0.62 inches,0.77 pounds
2,492,225,Islands of Space,Science Fiction : Space Opera,John W. Campbell Jr.,$12.99,,200 pages,Vintage Sci-Fi Classics,"""January 17, 2018""",English,1528703278,978-1528703277,5.5 x 0.5 x 8.5 inches,9.3 ounces,The Ultimate Weapon,Science Fiction - Space Opera,Jr. John W. Campbell,$9.99,,106.0,Vintage Sci-Fi Classics,January 2018,,1528703294,9781528703291,8.5 x 5.5 x 0.25 inches,0.32 pounds
3,2517,4863,The Business of Life,Psychological Thrillers,Robert W. Chambers,$17.99,,332 pages,CreateSpace Independent Publishing Platform,"""February 19, 2018""",English,1985697831,978-1985697836,6 x 0.8 x 9 inches,1.3 pounds,The King in Yellow,Fantasy - Dark Fantasy,Robert W. Chambers,$6.99,,146.0,Createspace Independent Publishing Platform,April 2017,,1545423733,9781545423738,9 x 6 x 0.31 inches,0.45 pounds
4,426,217,Time Travel,Science Fiction : Space Opera,H. E. Sommers,$10.75,,280 pages,CreateSpace Independent Publishing Platform,"""January 29, 2018""",English,1984375768,978-1984375766,5 x 0.6 x 8 inches,13.1 ounces,Exoplanet Machine War,Science Fiction - Space Opera,H. E. Sommers,$12.80,,356.0,Createspace Independent Publishing Platform,January 2018,,1984915193,9781984915191,8 x 5 x 0.74 inches,0.78 pounds
5,478,269,The Galaxy Primes,Science Fiction : Space Opera,"E. E. ""Doc"" Smith",$13.53,,230 pages,Vintage Sci-Fi Classics,"""January 17, 2018""",English,1528703154,978-1528703154,5.5 x 0.5 x 8.5 inches,10.6 ounces,Subspace Survivors,Science Fiction - Space Opera,"E. E. ""Doc"" Smith",$9.99,,56.0,Vintage Sci-Fi Classics,January 2018,,1528703146,9781528703147,8.5 x 5.5 x 0.13 inches,0.18 pounds
6,421,240,Exoplanet Machine War,Science Fiction : Space Opera,H. E. Sommers,$12.80,,356 pages,CreateSpace Independent Publishing Platform,"""January 30, 2018""",English,1984915193,978-1984915191,5 x 0.8 x 8 inches,1 pounds,Time Travel,Science Fiction - Space Opera,H. E. Sommers,$10.75,,280.0,Createspace Independent Publishing Platform,January 2018,,1984375768,9781984375766,8 x 5 x 0.59 inches,0.62 pounds
7,376,240,"""Final Frontier War: Author, Time Travel""",Science Fiction : Space Opera,H. E. Sommers,$10.75,,282 pages,CreateSpace Independent Publishing Platform,"""February 8, 2018""",English,1984380354,978-1984380357,5 x 0.6 x 8 inches,13.3 ounces,Time Travel,Science Fiction - Space Opera,H. E. Sommers,$10.75,,280.0,Createspace Independent Publishing Platform,January 2018,,1984375768,9781984375766,8 x 5 x 0.59 inches,0.62 pounds
8,486,227,The Red Peri,Science Fiction : Space Opera,Stanley G. Weinbaum,$9.99,,72 pages,Vintage Sci-Fi Classics,"""January 17, 2018""",English,1528703391,978-1528703390,5.5 x 0.2 x 8.5 inches,3.7 ounces,The Planet of Doubt,Science Fiction - Space Opera,Stanley G. Weinbaum,$9.99,,42.0,Vintage Sci-Fi Classics,January 2018,,1528703383,9781528703383,8.5 x 5.5 x 0.1 inches,0.14 pounds
9,422,4911,Goddess of the Stars (Reptoid) (Volume 1),Science Fiction : Space Opera,Ronnie G. Anderson,$10.95,Reptoid,184 pages,CreateSpace Independent Publishing Platform,"""January 30, 2018""",English,198436863X,978-1984368638,6 x 0.4 x 9 inches,11.8 ounces,The Rites of Spring,Fantasy - Dark Fantasy,Ronnie G. Anderson,$10.95,,194.0,Createspace Independent Publishing Platform,March 2017,,1544655932,9781544655932,9 x 6 x 0.41 inches,0.59 pounds
