_id,ltable_ID,rtable_ID,ltable_Name,ltable_Category,ltable_Author,ltable_Price,ltable_Series,ltable_Pages,ltable_Publisher,ltable_Date,ltable_Language,ltable_ISBN_10,ltable_ISBN_13,ltable_Dimensions,ltable_Weight,rtable_Name,rtable_Category,rtable_Author,rtable_Price,rtable_Series,rtable_Pages,rtable_Publisher,rtable_Date,rtable_Language,rtable_ISBN_10,rtable_ISBN_13,rtable_Dimensions,rtable_Weight,label
23,2391,14,No one's Perfect: The biography of an abusive Roman Catholic priest,Psychological Thrillers,David John Hay,$6.50,,218 pages,Independently published,"""March 17, 2018""",English,1980582661,978-1980582663,6 x 0.5 x 9 inches,13.8 ounces,The Voice of Mars,Science Fiction - Space Opera,David Guymer,$13.08,,432,Games Workshop,November 2018,,1784968080,9781784968083,,,0
61,67,43,Ghosts of War: Retribution,Science Fiction : Space Opera,Paul Robinson,$14.99,,,Quill,"""July 17, 2018""",English,1947848909,978-1947848900,,1.1 pounds,Ghosts of War  :  Retribution,Science Fiction - Space Opera,Paul Robinson,$14.99,,,Quill,July 2018,,1947848909,9781947848900,,,1
73,74,55,Resurrection (The Horusian Wars),Science Fiction : Space Opera,John French,$16.00,The Horusian Wars (Book 1),368 pages,Games Workshop; Reprint edition,"""July 10, 2018""",English,1784967289,978-1784967284,5.1 x 7.8 inches,1.1 pounds,Resurrection,Science Fiction - Space Opera,John French,$16.00,,368,Games Workshop,July 2018,,1784967289,9781784967284,,,1
76,87,59,Reverse Abduction (Alien Abduction),Science Fiction : Space Opera,Eve Langlais,$9.99,Alien Abduction (Book 8),152 pages,Eve Langlais,"""June 19, 2018""",English,1988328896,978-1988328898,5 x 0.4 x 8 inches,6.1 ounces,Reverse Abduction,Science Fiction - Space Opera,Eve Langlais,$9.99,,152,Eve Langlais,June 2018,,1988328896,9781988328898,8 x 5 x 0.35 inches,0.38 pounds,1
79,21,63,The Spark,Science Fiction : Space Opera,David Drake,$7.05,,368 pages,Baen,"""October 30, 2018""",English,1481483595,978-1481483599,4.1 x 6.8 inches,1.1 pounds,Yarrick  :  The Omnibus,Science Fiction - Space Opera,David Annandale,$21.00,,816,Games Workshop,June 2018,,1784967106,9781784967109,,,0
80,83,63,Yarrick: The Omnibus,Science Fiction : Space Opera,David Annandale,$21.00,Yarrick,816 pages,Games Workshop; Reprint edition,"""June 26, 2018""",English,1784967106,978-1784967109,5.1 x 7.8 inches,1.1 pounds,Yarrick  :  The Omnibus,Science Fiction - Space Opera,David Annandale,$21.00,,816,Games Workshop,June 2018,,1784967106,9781784967109,,,1
90,111,73,Ghost Warrior (Rise of the Ynnari),Science Fiction : Space Opera,Gav Thorpe,$16.00,Rise of the Ynnari (Book 1),368 pages,Games Workshop,"""May 15, 2018""",English,1784966754,978-1784966751,5.1 x 0.9 x 7.8 inches,9.3 ounces,Ghost Warrior,Science Fiction - Space Opera,Gav Thorpe,$16.00,,368,Games Workshop,May 2018,,1784966754,9781784966751,,,1
94,115,77,Afterwar,Science Fiction : Space Opera,Lilith Saintcrow,$15.99,,416 pages,Orbit,"""May 8, 2018""",English,316558249,978-0316558242,,1.1 pounds,Afterwar,Science Fiction - Space Opera,Lilith Saintcrow,$15.99,,416,Orbit,May 2018,,316558249,9780316558242,,,1
111,449,90,Warden of the Blade (Castellan Crowe),Science Fiction : Space Opera,David Annandale,$13.98,Castellan Crowe (Book 1),320 pages,Games Workshop; Reprint edition,"""January 23, 2018""",English,1784966258,978-1784966256,5.1 x 0.7 x 7.8 inches,8 ounces,Warlord  :  Fury of the God-Machine,Science Fiction - Space Opera,David Annandale,$16.00,,352,Games Workshop,April 2018,,1784966827,9781784966829,,,0
113,129,91,Space Drifters: The Ghost Ship,Science Fiction : Space Opera,Paul Regnier,$15.99,Space Drifters (Book 3),304 pages,Enclave,"""April 10, 2018""",English,1683700821,978-1683700821,,1.1 pounds,Space Drifters  :  The Ghost Ship,Science Fiction - Space Opera,Paul Regnier,$15.99,,304,Enclave,April 2018,,1683700821,9781683700821,,,1
120,131,96,Ruinstorm (The Horus Heresy),Science Fiction : Space Opera,David Annandale,$18.00,The Horus Heresy (Book 46),384 pages,Games Workshop; Reprint edition,"""April 3, 2018""",English,178496672X,978-1784966720,6 x 0.9 x 9.2 inches,14.7 ounces,Ruinstorm,Science Fiction - Space Opera,David Annandale,$18.00,,384,Games Workshop,April 2018,,178496672X,9781784966720,,,1
124,243,100,The Tortuous Path (Fall of the Terran Empire) (Volume 2),Science Fiction : Space Opera,G.P. Hudson,$14.99,Fall of the Terran Empire,340 pages,CreateSpace Independent Publishing Platform,"""March 2, 2018""",English,1986031330,978-1986031332,6 x 0.8 x 9 inches,1.3 pounds,The Tortuous Path,Science Fiction - Space Opera,G. P. Hudson,$14.99,,342,Createspace Independent Publishing Platform,March 2018,,1986031330,9781986031332,9 x 6 x 0.71 inches,1.01 pounds,1
136,221,108,New York 2140,Science Fiction : Space Opera,Kim Stanley Robinson,$13.56,,656 pages,Orbit; Reprint edition,"""March 6, 2018""",English,316262315,978-0316262316,5.5 x 1.8 x 8.5 inches,1 pounds,New York 2140,Science Fiction - Space Opera,Kim Stanley Robinson,$13.46,,656,Orbit,March 2018,,316262315,9780316262316,8.2 x 5.4 x 1.8 inches,1.15 pounds,1
