_id,ltable_ID,rtable_ID,ltable_Name,ltable_Category,ltable_Author,ltable_Price,ltable_Series,ltable_Pages,ltable_Publisher,ltable_Date,ltable_Language,ltable_ISBN_10,ltable_ISBN_13,ltable_Dimensions,ltable_Weight,rtable_Name,rtable_Category,rtable_Author,rtable_Price,rtable_Series,rtable_Pages,rtable_Publisher,rtable_Date,rtable_Language,rtable_ISBN_10,rtable_ISBN_13,rtable_Dimensions,rtable_Weight,label
4243,1479,8274,Badlands: A Novella of Open Wounds (Open Wounds Shorts),Fantasy : Dark,M. K. Dreysen,$7.99,Open Wounds Shorts (Book 2),103 pages,Independently published,"""February 8, 2018""",English,1980228086,978-1980228080,5 x 0.3 x 8 inches,5.9 ounces,A Flash of Red,Thrillers - Psychological,Sarah K. Stephens,$14.99,,234.0,Pandamoon Publishing,April 2017,,194550224X,9781945502248,9 x 6 x 0.49 inches,0.7 pounds,0
1606,1492,2630,Profaner of Jorron (Saga of the Shan'dar),Fantasy : Dark,James Kampras,,Saga of the Shan'dar (Book 1),611 pages,Independently published,"""February 6, 2018""",English,1977094473,978-1977094476,6 x 1.5 x 9 inches,2.2 pounds,Rise of the Destroyer,Science Fiction - Space Opera,James Dennis,$12.00,,302.0,Createspace Independent Publishing Platform,November 2014,,1503093360,9781503093362,7.99 x 5 x 0.63 inches,0.66 pounds,0
331,2344,225,The Good Samaritan,Psychological Thrillers,John Marrs,$15.95,,400 pages,Thomas & Mercer,"""April 12, 2018""",English,1503903362,978-1503903364,5.5 x 1 x 8.2 inches,1.3 pounds,The Ultimate Weapon,Science Fiction - Space Opera,Jr. John W. Campbell,$9.99,,106.0,Vintage Sci-Fi Classics,January 2018,,1528703294,9781528703291,8.5 x 5.5 x 0.25 inches,0.32 pounds,0
403,1916,267,The Voyage of Odysseus,Fantasy : Dark,Jacob Moore,$13.89,,142 pages,Mirador Publishing,"""November 22, 2017""",English,1912192853,978-1912192854,6 x 0.3 x 9 inches,7.7 ounces,The Music of Mars,Science Fiction - Space Opera,George G. Moore,$15.99,,300.0,Year of the Book Press,January 2018,,1945670703,9781945670701,9.02 x 5.98 x 0.67 inches,0.97 pounds,0
934,95,739,"""The Year's Best Military and Adventure SF, Volume 4 (Year's Best Military & Adventure Science)""",Science Fiction : Space Opera,David Afsharirad,$16.00,Year's Best Military & Adventure Science (Book 4),336 pages,Baen,"""June 5, 2018""",English,1481483323,978-1481483322,6.1 x 9.2 inches,1.1 pounds,"""Year's Best Military and Adventure SF, Volume 3""",Science Fiction - Space Opera,David Afsharirad,$16.00,,336.0,Baen,June 2017,,1481482688,9781481482684,9.1 x 6.1 x 0.8 inches,0.8 pounds,0
812,1062,523,The War of the Worlds,Science Fiction : Space Opera,H. G. Wells,$9.95,,112 pages,Independently published,"""October 2, 2017""",English,1549884506,978-1549884504,6 x 0.3 x 9 inches,7.8 ounces,The Frozen,Science Fiction - Space Opera,Ronnie G. Anderson,$14.95,,302.0,Createspace Independent Publishing Platform,September 2017,,1976477522,9781976477522,9 x 6 x 0.63 inches,0.89 pounds,0
580,771,382,The Devastation of Baal (Space Marine Conquests),Science Fiction : Space Opera,Guy Haley,$12.59,Space Marine Conquests (Book 1),512 pages,Games Workshop,"""November 28, 2017""",English,1784965936,978-1784965938,5.1 x 1.3 x 7.8 inches,12 ounces,The Devastation of Baal,Science Fiction - Space Opera,Guy Haley,$16.00,,512.0,Games Workshop,November 2017,,1784965936,9781784965938,7.6 x 5 x 1.4 inches,0.75 pounds,1
1909,1864,3837,The Unyielding,Fantasy : Dark,Gary J. Shipley,$10.95,,100 pages,Eraserhead Press,"""December 1, 2017""",English,1621052419,978-1621052418,5 x 0.2 x 7 inches,3.5 ounces,The Dying Planet,Science Fiction - Space Opera,J. Chandler Nash,$23.95,,424.0,iUniverse,August 2011,,1462037534,9781462037537,8.5 x 5.51 x 0.86 inches,1.08 pounds,0
2427,1928,4218,Mindrallis: The Fallen Land,Fantasy : Dark,Aaron Bodine,$20.00,,268 pages,CreateSpace Independent Publishing Platform; 1 edition,"""November 21, 2017""",English,1979828598,978-1979828598,6 x 0.6 x 9 inches,1 pounds,Mindrallis  :  The Fallen Land,Fantasy - Dark Fantasy,Aaron Bodine,$20.00,,268.0,Createspace Independent Publishing Platform,November 2017,,1979828598,9781979828598,9.02 x 5.98 x 0.56 inches,0.8 pounds,1
2079,1837,3988,The Night Before Krampus,Fantasy : Dark,Peter Johnson,$11.99,,170 pages,CreateSpace Independent Publishing Platform,"""December 5, 2017""",English,1977765173,978-1977765178,5.5 x 0.4 x 8.5 inches,9.8 ounces,The Symbol,Fantasy - Dark Fantasy,Peter Fratesi,$17.99,,288.0,Createspace Independent Publishing Platform,February 2018,,1985749319,9781985749313,9 x 6 x 0.65 inches,0.94 pounds,0
