Name,Category,Author,Price,Series,Pages,Publisher,Date,Language,ISBN-10,ISBN-13,Dimensions,Weight
Treason,Science Fiction : Space Opera,Gun Brooke,$16.95,,,Bold Strokes Books,January 15# 2019,English,1635552443,978-1635552447,,1.1 pounds
Polity Agent: The Fourth Agent Cormac Novel,Science Fiction : Space Opera,Neal Asher,$7.99,Agent Cormac (Book 4),576 pages,Night Shade Books,January 1# 2019,English,1597809810,978-1597809818,4.2 x 6.8 inches,1.1 pounds
The Crimson King (The Horus Heresy),Science Fiction : Space Opera,Graham McNeill,$9.99,The Horus Heresy,480 pages,Games Workshop,December 25# 2018,English,178496834X,978-1784968342,4.2 x 6.7 inches,1.1 pounds
Blood Angels  The Complete Rafen Omnibus (Warhammer 40#000),Science Fiction : Space Opera,James Swallow,$21.00,Warhammer 40#000,960 pages,Games Workshop,December 25# 2018,English,1784968331,978-1784968335,5.1 x 7.8 inches,1.1 pounds
Frontier Volume 1,Science Fiction : Space Opera,Jonathan Hickman,$14.99,Frontier (Book 1),240 pages,Image Comics,December 25# 2018,English,1534301607,978-1534301603,,1.1 pounds
Space Opera,Science Fiction : Space Opera,Catherynne M. Valente,$14.99,,304 pages,Saga Press; Reprint edition,December 18# 2018,English,1481497502,978-1481497503,5.5 x 8.2 inches,1.1 pounds
Legend of the Galactic Heroes# Vol. 8: Desolation,Science Fiction : Space Opera,Yoshiki Tanaka and Daniel Huddleston,$15.99,Legend of the Galactic Heroes (Book 8),224 pages,Haikasoru,December 11# 2018,English,1421585014,978-1421585017,5.2 x 8 inches,1.1 pounds
The Emperor's Gift (Warhammer 40#000),Science Fiction : Space Opera,Aaron Dembski-Bowden,$16.00,Warhammer 40#000,416 pages,Games Workshop; Reprint edition,December 11# 2018,English,1784968447,978-1784968441,5.1 x 7.8 inches,1.1 pounds
Tales from Plexis (Trade Pact Universe),Science Fiction : Space Opera,Julie E. Czerneda,$10.57,Trade Pact Universe,320 pages,DAW,December 4# 2018,English,0756413931,978-0756413934,5.1 x 8 inches,13 ounces
A Star Wheeled Sky,Science Fiction : Space Opera,Brad R. Torgersen,$16.00,,352 pages,Baen,December 4# 2018,English,1481483625,978-1481483629,6.1 x 9.8 inches,1.1 pounds
The Magnificent Wilf,Science Fiction : Space Opera,Gordon R. Dickson,$16.00,,272 pages,Baen; Reprint edition,December 4# 2018,English,1481483633,978-1481483636,6.1 x 9.2 inches,1.1 pounds
The Warmaster (Gaunt's Ghosts),Science Fiction : Space Opera,Dan Abnett,$16.00,Gaunt's Ghosts,432 pages,Games Workshop; Reprint edition,November 27# 2018,English,1784968145,978-1784968144,5.1 x 7.8 inches,1.1 pounds
Bright Light (Star Carrier),Science Fiction : Space Opera,Ian Douglas,$7.99,Star Carrier,384 pages,Harper Voyager,November 27# 2018,English,0062369016,978-0062369017,4.2 x 1 x 6.6 inches,10.4 ounces
Space Pioneers,Science Fiction : Space Opera,Hank Davis and Christopher Ruocchio,$7.99,,304 pages,Baen,November 27# 2018,English,1481483609,978-1481483605,4.1 x 6.8 inches,1.1 pounds
The Eternity War: Exodus,Science Fiction : Space Opera,Jamie Sawyer,$7.69,The Eternity War (Book 2),544 pages,Orbit,November 27# 2018,English,0316411159,978-0316411158,,1.1 pounds
The Soldier: Rise of the Jain# Book One,Science Fiction : Space Opera,Neal Asher,$15.99,Rise of the Jain (Book 1),400 pages,Night Shade Books,November 6# 2018,English,1597809616,978-1597809610,6 x 9 inches,1.1 pounds
The Voice of Mars (Warhammer 40#000),Science Fiction : Space Opera,David Guymer,$12.15,Warhammer 40#000,432 pages,Games Workshop,November 6# 2018,English,1784968080,978-1784968083,5.1 x 7.8 inches,1.1 pounds
Hokas Pokas,Science Fiction : Space Opera,Poul Anderson and Gordon R. Dickson,$16.00,,272 pages,Baen,November 6# 2018,English,1481483579,978-1481483575,6.1 x 9.2 inches,1.1 pounds
Brass Man: The Third Agent Cormac Novel,Science Fiction : Space Opera,Neal Asher,$7.99,,576 pages,Night Shade Books,November 6# 2018,English,1597809802,978-1597809801,4.2 x 6.8 inches,1.1 pounds
Agent of Change (Liaden Universe),Science Fiction : Space Opera,Sharon Lee,$7.99,Liaden Universe (Book 1),336 pages,Baen,October 30# 2018,English,1481483641,978-1481483643,,1.1 pounds
The Spark,Science Fiction : Space Opera,David Drake,$7.05,,368 pages,Baen,October 30# 2018,English,1481483595,978-1481483599,4.1 x 6.8 inches,1.1 pounds
Willful Child: Wrath of Betty,Science Fiction : Space Opera,Steven Erikson,$9.99,Willful Child (Book 2),336 pages,Tor Science Fiction,October 30# 2018,English,0765383926,978-0765383921,4.1 x 0.8 x 6.8 inches,1.1 pounds
Wolfsbane (The Horus Heresy),Science Fiction : Space Opera,Guy Haley,$13.89,The Horus Heresy,432 pages,Games Workshop,October 9# 2018,English,1784967793,978-1784967796,6 x 9.2 inches,1.1 pounds
Imperator: Wrath of the Omnissiah (Warhammer 40#000),Science Fiction : Space Opera,Gav Thorpe,$12.11,Warhammer 40#000,368 pages,Games Workshop,October 9# 2018,English,1784967785,978-1784967789,5.1 x 7.8 inches,1.1 pounds
Legacy of Dorn (Warhammer 40#000),Science Fiction : Space Opera,Mike Lee,$13.13,Warhammer 40#000,416 pages,Games Workshop,October 9# 2018,English,1784967777,978-1784967772,5.1 x 7.8 inches,1.1 pounds
There Before the Chaos (The Farian War),Science Fiction : Space Opera,K. B. Wagers,$11.15,The Farian War (Book 1),432 pages,Orbit,October 9# 2018,English,0316411213,978-0316411219,,1.1 pounds
Saga Volume 9,Science Fiction : Space Opera,Brian K Vaughan and Fiona Staples,$12.68,,152 pages,Image Comics,October 2# 2018,English,1534308377,978-1534308374,,1.1 pounds
Persepolis Rising (The Expanse),Science Fiction : Space Opera,James S. A. Corey,$12.51,The Expanse (Book 7),560 pages,Orbit; Reprint edition,October 2# 2018,English,0316332852,978-0316332859,,1.1 pounds
Children of the Fleet (Fleet School),Science Fiction : Space Opera,Orson Scott Card,$8.99,Fleet School (Book 1),352 pages,Tor Science Fiction,October 2# 2018,English,0765377055,978-0765377050,4.1 x 0.8 x 6.8 inches,1.1 pounds
The Quantum Magician,Science Fiction : Space Opera,Derek Kunsken,$11.99,,480 pages,Solaris,October 2# 2018,English,1781085706,978-1781085707,5.5 x 7.8 inches,1.1 pounds
Probability Shadow (Against the Glare of Darkness),Science Fiction : Space Opera,Mark Laporta,$8.59,Against the Glare of Darkness (Book 1),248 pages,Chickadee Prince Books,October 1# 2018,English,0999756923,978-0999756928,6 x 0.5 x 9 inches,11.8 ounces
Descender Volume 6: The Machine War,Science Fiction : Space Opera,Jeff Lemire and Dustin Nguyen,$16.99,Descender (Book 6),120 pages,Image Comics,September 25# 2018,English,1534306900,978-1534306905,,1.1 pounds
The Game of Luck (A Felicia Sevigny Novel),Science Fiction : Space Opera,Catherine Cerveny,$15.99,A Felicia Sevigny Novel (Book 3),384 pages,Orbit,September 25# 2018,English,031644166X,978-0316441667,,1.1 pounds
Challenger's Hope (The Seafort Saga),Science Fiction : Space Opera,David Feintuch,$12.11,The Seafort Saga (Book 2),405 pages,Open Road Media Sci-Fi & Fantasy,September 25# 2018,English,1504052900,978-1504052900,5.2 x 8 inches,1.1 pounds
Outer Dark (Carcharodons),Science Fiction : Space Opera,Robbie MacNiven,$12.25,Carcharodons,400 pages,Games Workshop,September 18# 2018,English,1784967718,978-1784967710,5.1 x 7.8 inches,1.1 pounds
Beyond the Gates of Antares: Void Protocol (Beyond Antares),Science Fiction : Space Opera,Riley O'Connor,$13.65,Beyond Antares,320 pages,Zmok Books,September 18# 2018,English,1945430710,978-1945430718,6 x 0.6 x 9 inches,1.1 pounds
Prism Stalker Volume 1,Science Fiction : Space Opera,Sloane Leong,$7.25,,144 pages,Image Comics,September 11# 2018,English,1534308288,978-1534308282,,1.1 pounds
To Guard Against the Dark (Reunification),Science Fiction : Space Opera,Julie E. Czerneda,$7.25,Reunification (Book 3),448 pages,DAW,September 11# 2018,English,0756412439,978-0756412432,,6.1 ounces
Deep Blue (Second Species Trilogy),Science Fiction : Space Opera,Jane O'Reilly,$22.99,Second Species Trilogy,336 pages,Piatkus,September 11# 2018,English,0349416621,978-0349416625,,1.1 pounds
Of Honour and Iron (Space Marine Conquests),Science Fiction : Space Opera,Ian St Martin,$12.39,Space Marine Conquests,352 pages,Games Workshop,September 4# 2018,English,1784967688,978-1784967680,5.1 x 7.8 inches,1.1 pounds
The Dreaming Stars,Science Fiction : Space Opera,Tim Pratt,$8.99,,400 pages,Angry Robot,September 4# 2018,English,085766767X,978-0857667670,,6.1 ounces
Watchers of the Throne: The Emperor's Legion,Science Fiction : Space Opera,Chris Wraight,$12.18,Watchers of the Throne,352 pages,Games Workshop,September 4# 2018,English,178496767X,978-1784967673,5.1 x 7.8 inches,1.1 pounds
The Accidental War: A Novel,Science Fiction : Space Opera,Walter Jon Williams,$16.99,,560 pages,Harper Voyager,September 4# 2018,English,0062467026,978-0062467027,5.3 x 1.3 x 8 inches,10.4 ounces
Daughters of Forgotten Light,Science Fiction : Space Opera,Sean Grigsby,$9.20,,400 pages,Angry Robot,September 4# 2018,English,0857667955,978-0857667953,,13 ounces
Gridlinked: The First Agent Cormac Novel,Science Fiction : Space Opera,Neal Asher,$7.99,Agent Cormac (Book 1),524 pages,Night Shade Books,September 4# 2018,English,1597809780,978-1597809788,4.2 x 6.8 inches,1.1 pounds
The Madness of Mr. Butler,Science Fiction : Space Opera,Michael Haase,$13.99,,240 pages,Inkshares,September 1# 2018,English,1942645392,978-1942645399,,
Irontown Blues (Eight Worlds),Science Fiction : Space Opera,John Varley,$11.34,Eight Worlds (Book 4),304 pages,Ace,August 28# 2018,English,1101989378,978-1101989371,5.1 x 0.8 x 8 inches,9 ounces
Garro (The Horus Heresy),Science Fiction : Space Opera,James Swallow,$9.99,The Horus Heresy (Book 42),464 pages,Games Workshop,August 28# 2018,English,1784967580,978-1784967581,4.2 x 6.7 inches,1.1 pounds
