ID,Name,Category,Author,Price,Series,Pages,Publisher,Date,Language,ISBN_10,ISBN_13,Dimensions,Weight
1,Agent to the Stars,Science Fiction - Space Opera,John Scalzi,$15.99,,368.0,Tor Books,March 2019,,1250176514,9781250176516,,
2,Treason,Science Fiction - Space Opera,Gun Brooke,$16.95,,,Bold Strokes Books,January 2019,,1635552443,9781635552447,,
3,Tales from Plexis,Science Fiction - Space Opera,Julie E. Czerneda,$16.00,,320.0,Daw Books,December 2018,,0756413931,9780756413934,,
4,The Emperor's Gift,Science Fiction - Space Opera,Aaron Dembski-Bowden,$12.16,,416.0,Games Workshop,December 2018,,1784968447,9781784968441,,
5,A Star Wheeled Sky,Science Fiction - Space Opera,Brad R. Torgersen,$12.80,,352.0,Baen,December 2018,,1481483625,9781481483629,,
6,The Magnificent Wilf,Science Fiction - Space Opera,Gordon R. Dickson,$16.00,,272.0,Baen,December 2018,,1481483633,9781481483636,,
7,Space Opera,Science Fiction - Space Opera,Catherynne M. Valente,$11.39,,304.0,Saga Press,December 2018,,1481497502,9781481497503,,
8,Blood Angels - The Complete Rafen Omnibus  :  The Complete Rafen Omnibus,Science Fiction - Space Opera,James Swallow,$21.00,,960.0,Games Workshop,December 2018,,1784968331,9781784968335,,
9,"""Legend of the Galactic Heroes, Vol. 8  :  Desolation""",Science Fiction - Space Opera,Yoshiki Tanaka and Daniel Huddleston,$15.99,,224.0,Haikasoru,December 2018,,1421585014,9781421585017,,
10,The Crimson King,Science Fiction - Space Opera,Graham McNeill,$9.99,,480.0,Games Workshop,December 2018,,178496834X,9781784968342,,
11,"""The Soldier  :  Rise of the Jain, Book One""",Science Fiction - Space Opera,Neal Asher,$12.79,,392.0,Night Shade Books,November 2018,,1597809616,9781597809610,,
12,Hokas Pokas,Science Fiction - Space Opera,Poul Anderson and Gordon R. Dickson,$12.80,,272.0,Baen,November 2018,,1481483579,9781481483575,,
13,The Warmaster,Science Fiction - Space Opera,Dan Abnett,$12.16,,432.0,Games Workshop,November 2018,,1784968145,9781784968144,,
14,The Voice of Mars,Science Fiction - Space Opera,David Guymer,$13.08,,432.0,Games Workshop,November 2018,,1784968080,9781784968083,,
15,Champions of the Third Planet,Science Fiction - Space Opera,Christopher Leone,$13.99,,240.0,Nerdist,November 2018,,1942645376,9781942645375,,
16,Legacy of Dorn,Science Fiction - Space Opera,Mike Lee,$14.05,,416.0,Games Workshop,October 2018,,1784967777,9781784967772,,
17,Wolfsbane,Science Fiction - Space Opera,Guy Haley,$14.86,,432.0,Games Workshop,October 2018,,1784967793,9781784967796,,
18,Probability Shadow,Science Fiction - Space Opera,Mark Laporta,$9.22,,248.0,Chickadee Prince Books,October 2018,,0999756923,9780999756928,9 x 6 x 0.52 inches,0.74 pounds
19,Imperator  :  Wrath of the Omnissiah: Wrath of the Omnissiah,Science Fiction - Space Opera,Gav Thorpe,$12.95,,368.0,Games Workshop,October 2018,,1784967785,9781784967789,,
20,There Before the Chaos,Science Fiction - Space Opera,K. B. Wagers,$11.99,,432.0,Orbit,October 2018,,0316411213,9780316411219,,
21,The Quantum Magician,Science Fiction - Space Opera,Derek Kunsken,$11.99,,480.0,Solaris,October 2018,,1781085706,9781781085707,,
22,Outer Dark,Science Fiction - Space Opera,Robbie MacNiven,$13.11,,400.0,Games Workshop,September 2018,,1784967718,9781784967710,,
23,Deep Blue,Science Fiction - Space Opera,Jane O'Reilly,$22.99,,336.0,Piatkus,September 2018,,0349416621,9780349416625,,
24,Watchers of the Throne  :  The Emperor's Legion,Science Fiction - Space Opera,Chris Wraight,$13.11,,352.0,Games Workshop,September 2018,,178496767X,9781784967673,,
25,Challenger's Hope,Science Fiction - Space Opera,David Feintuch,$12.95,,405.0,Open Road Media Science & Fantasy,September 2018,,1504052900,9781504052900,,
26,Daughters of Forgotten Light,Science Fiction - Space Opera,Sean Grigs,$9.87,,400.0,Angry Robot,September 2018,,0857667955,9780857667953,,
27,Invaders Plan  :  Soltan Gris Confesses Crimes,Science Fiction - Space Opera,L. Ron Hubbard,$15.95,,768.0,Galaxy Press (CA),June 2018,,1619865300,9781619865303,1 x 6 x 9 inches,
28,Of Honour and Iron,Science Fiction - Space Opera,Ian St Martin,$13.27,,352.0,Games Workshop,September 2018,,1784967688,9781784967680,,
29,Beyond the Gates of Antares  :  Void Protocol,Science Fiction - Space Opera,Riley O'Connor,$14.69,,320.0,Zmok Books,September 2018,,1945430710,9781945430718,,
30,The Game of Luck,Science Fiction - Space Opera,Catherine Cerveny,$14.20,,384.0,Orbit,September 2018,,031644166X,9780316441667,,
31,The Madness of Mr. Butler,Science Fiction - Space Opera,Michael Haase,$13.99,,240.0,Inkshares,September 2018,,1942645392,9781942645399,,
32,The Accidental War,Science Fiction - Space Opera,Walter Jon Williams,$16.99,,560.0,Voyager,September 2018,,0062467026,9780062467027,,
33,The Burden of Loyalty,Science Fiction - Space Opera,Laurie Goulding,$18.00,,432.0,Games Workshop,August 2018,,1784967521,9781784967529,,
34,The Million,Science Fiction - Space Opera,Karl Schroeder,$14.99,,192.0,Tor.com,August 2018,,1250185424,9781250185426,,
35,"""Legend of the Galactic Heroes, Vol. 7  :  Tempest""",Science Fiction - Space Opera,Yoshiki Tanaka and Daniel Huddleston,$15.99,,224.0,Haikasoru,August 2018,,1421585294,9781421585291,,
36,Noumenon Infinity,Science Fiction - Space Opera,Marina J. Lostetter,$16.99,,496.0,Voyager,August 2018,,0062497863,9780062497864,,
37,Irontown Blues,Science Fiction - Space Opera,John Varley,$12.16,,304.0,Ace Books,August 2018,,1101989378,9781101989371,8 x 5.13 x 0.75 inches,0.55 pounds
38,Servants of the Machine God,Science Fiction - Space Opera,Various,$16.00,,416.0,Games Workshop,August 2018,,1784967599,9781784967598,,
