Name,Category,Author,Price,Series,Pages,Publisher,Date,Language,ISBN_10,ISBN_13,Dimensions,Weight
Treason,Science Fiction : Space Opera,Gun Brooke,$16.95,,,Bold Strokes Books,"January 15, 2019",English,1635552443,978-1635552447,,1.1 pounds
Tales from Plexis (Trade Pact Universe),Science Fiction : Space Opera,Julie E. Czerneda,$10.57,Trade Pact Universe,320 pages,DAW,"December 4, 2018",English,0756413931,978-0756413934,5.1 x 8 inches,13 ounces
"The Emperor's Gift (Warhammer 40,000)",Science Fiction : Space Opera,Aaron Dembski-Bowden,$12.16,"Warhammer 40,000",416 pages,Games Workshop; Reprint edition,"December 11, 2018",English,1784968447,978-1784968441,5.1 x 7.8 inches,1.1 pounds
A Star Wheeled Sky,Science Fiction : Space Opera,Brad R. Torgersen,$12.80,,352 pages,Baen,"December 4, 2018",English,1481483625,978-1481483629,6.1 x 9.8 inches,1.1 pounds
The Magnificent Wilf,Science Fiction : Space Opera,Gordon R. Dickson,$16.00,,272 pages,Baen; Reprint edition,"December 4, 2018",English,1481483633,978-1481483636,6.1 x 9.2 inches,1.1 pounds
Space Opera,Science Fiction : Space Opera,Catherynne M. Valente,$11.39,,304 pages,Saga Press; Reprint edition,"December 18, 2018",English,1481497502,978-1481497503,5.5 x 8.2 inches,1.1 pounds
"Blood Angels  The Complete Rafen Omnibus (Warhammer 40,000)",Science Fiction : Space Opera,James Swallow,$21.00,"Warhammer 40,000",960 pages,Games Workshop,"December 25, 2018",English,1784968331,978-1784968335,5.1 x 7.8 inches,1.1 pounds
"Legend of the Galactic Heroes, Vol. 8: Desolation",Science Fiction : Space Opera,Yoshiki Tanaka and Daniel Huddleston,$15.99,Legend of the Galactic Heroes (Book 8),224 pages,Haikasoru,"December 11, 2018",English,1421585014,978-1421585017,5.2 x 8 inches,1.1 pounds
The Crimson King (The Horus Heresy),Science Fiction : Space Opera,Graham McNeill,$9.99,The Horus Heresy,480 pages,Games Workshop,"December 25, 2018",English,178496834X,978-1784968342,4.2 x 6.7 inches,1.1 pounds
"The Soldier: Rise of the Jain, Book One",Science Fiction : Space Opera,Neal Asher,$12.79,Rise of the Jain (Book 1),400 pages,Night Shade Books,"November 6, 2018",English,1597809616,978-1597809610,6 x 9 inches,1.1 pounds
Hokas Pokas,Science Fiction : Space Opera,Poul Anderson and Gordon R. Dickson,$12.80,,272 pages,Baen,"November 6, 2018",English,1481483579,978-1481483575,6.1 x 9.2 inches,1.1 pounds
The Warmaster (Gaunt's Ghosts),Science Fiction : Space Opera,Dan Abnett,$12.16,Gaunt's Ghosts,432 pages,Games Workshop; Reprint edition,"November 27, 2018",English,1784968145,978-1784968144,5.1 x 7.8 inches,1.1 pounds
"The Voice of Mars (Warhammer 40,000)",Science Fiction : Space Opera,David Guymer,$12.15,"Warhammer 40,000",432 pages,Games Workshop,"November 6, 2018",English,1784968080,978-1784968083,5.1 x 7.8 inches,1.1 pounds
"Legacy of Dorn (Warhammer 40,000)",Science Fiction : Space Opera,Mike Lee,$13.13,"Warhammer 40,000",416 pages,Games Workshop,"October 9, 2018",English,1784967777,978-1784967772,5.1 x 7.8 inches,1.1 pounds
Wolfsbane (The Horus Heresy),Science Fiction : Space Opera,Guy Haley,$13.89,The Horus Heresy,432 pages,Games Workshop,"October 9, 2018",English,1784967793,978-1784967796,6 x 9.2 inches,1.1 pounds
Probability Shadow (Against the Glare of Darkness),Science Fiction : Space Opera,Mark Laporta,$8.59,Against the Glare of Darkness (Book 1),248 pages,Chickadee Prince Books,"October 1, 2018",English,0999756923,978-0999756928,6 x 0.5 x 9 inches,11.8 ounces
